,compare,snr,task,data type
224,mriqc,4.239295802301384,mriqc,snr
225,mriqc,4.807595670520124,mriqc,snr
226,mriqc,4.168436717611118,mriqc,snr
227,mriqc,4.436057430659902,mriqc,snr
228,mriqc,4.857764901808662,mriqc,snr
229,mriqc,5.018234671428005,mriqc,snr
230,mriqc,4.086305531373654,mriqc,snr
231,mriqc,3.986091687560988,mriqc,snr
232,mriqc,4.698797910464114,mriqc,snr
233,mriqc,4.7241210492253725,mriqc,snr
234,mriqc,4.454137193485716,mriqc,snr
235,mriqc,4.7631164741824215,mriqc,snr
236,mriqc,4.655646174571142,mriqc,snr
237,mriqc,4.306381132333824,mriqc,snr
238,mriqc,5.437930362663291,mriqc,snr
239,mriqc,4.319368226630163,mriqc,snr
240,mriqc,4.310988866650098,mriqc,snr
241,mriqc,4.646299357363611,mriqc,snr
242,mriqc,4.168839514024525,mriqc,snr
243,mriqc,4.922317262094547,mriqc,snr
244,mriqc,4.668298504510479,mriqc,snr
245,mriqc,4.342598702478293,mriqc,snr
246,mriqc,4.240871810042007,mriqc,snr
247,mriqc,4.1801438084597065,mriqc,snr
248,mriqc,4.095308835320695,mriqc,snr
249,mriqc,4.730598514723807,mriqc,snr
250,mriqc,4.367305419711794,mriqc,snr
251,mriqc,4.26115884422276,mriqc,snr
252,mriqc,4.805772397792154,mriqc,snr
253,mriqc,4.113294285183907,mriqc,snr
254,mriqc,5.028431676960745,mriqc,snr
255,mriqc,4.886498692500348,mriqc,snr
256,mriqc,4.289417685997239,mriqc,snr
257,mriqc,4.082598487918501,mriqc,snr
258,mriqc,4.894824538588036,mriqc,snr
259,mriqc,4.916949115838366,mriqc,snr
260,mriqc,4.933677514554379,mriqc,snr
261,mriqc,4.895544224332128,mriqc,snr
262,mriqc,4.2537039595004575,mriqc,snr
263,mriqc,4.8043767384779414,mriqc,snr
264,mriqc,4.718290937299291,mriqc,snr
265,mriqc,4.555372257286825,mriqc,snr
266,mriqc,4.625753728008454,mriqc,snr
267,mriqc,4.539925688323531,mriqc,snr
268,mriqc,4.989664560543632,mriqc,snr
269,mriqc,4.261150037738895,mriqc,snr
270,mriqc,4.718592017803161,mriqc,snr
271,mriqc,4.9435824611911,mriqc,snr
272,mriqc,4.375681844554667,mriqc,snr
273,mriqc,4.868075022769928,mriqc,snr
274,mriqc,4.739814443360562,mriqc,snr
275,mriqc,4.124648355749544,mriqc,snr
276,mriqc,5.044169250725246,mriqc,snr
277,mriqc,4.811993274969324,mriqc,snr
278,mriqc,4.843507901061412,mriqc,snr
279,mriqc,4.804369054091248,mriqc,snr
280,mriqc,4.807501186973432,mriqc,snr
281,mriqc,4.89140683302515,mriqc,snr
282,mriqc,4.906745666625518,mriqc,snr
283,mriqc,4.102996913120821,mriqc,snr
284,mriqc,4.453742641299836,mriqc,snr
285,mriqc,5.038814735677268,mriqc,snr
286,mriqc,4.810168407487322,mriqc,snr
287,mriqc,4.838889708950065,mriqc,snr
288,mriqc,4.161826312572082,mriqc,snr
289,mriqc,4.854504426683297,mriqc,snr
290,mriqc,4.93042919283386,mriqc,snr
291,mriqc,4.9460590535078195,mriqc,snr
292,mriqc,4.111386068688162,mriqc,snr
293,mriqc,4.131192117070489,mriqc,snr
294,mriqc,4.482073187393811,mriqc,snr
295,mriqc,4.187743899067816,mriqc,snr
296,mriqc,4.1610704155263845,mriqc,snr
297,mriqc,4.223098001694551,mriqc,snr
298,mriqc,4.232099734513569,mriqc,snr
299,mriqc,4.84639234741784,mriqc,snr
300,mriqc,4.607921618616746,mriqc,snr
301,mriqc,4.617387600041404,mriqc,snr
302,mriqc,4.578327446741931,mriqc,snr
303,mriqc,4.438370945670556,mriqc,snr
304,mriqc,4.962036050842849,mriqc,snr
305,mriqc,4.63880094672921,mriqc,snr
306,mriqc,4.919932698056148,mriqc,snr
307,mriqc,4.837544041739595,mriqc,snr
308,mriqc,4.940238931912163,mriqc,snr
309,mriqc,4.165111078667067,mriqc,snr
310,mriqc,4.670765299139603,mriqc,snr
311,mriqc,4.616425792329583,mriqc,snr
312,mriqc,4.787628918827693,mriqc,snr
313,mriqc,4.722274733063452,mriqc,snr
314,mriqc,4.135834354043446,mriqc,snr
315,mriqc,4.524253995266901,mriqc,snr
316,mriqc,4.098122488695801,mriqc,snr
317,mriqc,4.08123212612455,mriqc,snr
318,mriqc,4.101357021099325,mriqc,snr
319,mriqc,4.9239758924218675,mriqc,snr
320,mriqc,4.168987703531797,mriqc,snr
321,mriqc,4.958069823305492,mriqc,snr
322,mriqc,4.1345574846086475,mriqc,snr
323,mriqc,4.675288019047029,mriqc,snr
324,mriqc,4.251834670841721,mriqc,snr
325,mriqc,4.929369074063711,mriqc,snr
326,mriqc,4.22810777039237,mriqc,snr
327,mriqc,4.122137710939671,mriqc,snr
328,mriqc,4.682969413563664,mriqc,snr
329,mriqc,4.172526519956304,mriqc,snr
330,mriqc,4.110082382787052,mriqc,snr
331,mriqc,4.71575544855677,mriqc,snr
332,mriqc,4.713306085730871,mriqc,snr
333,mriqc,4.683537229271503,mriqc,snr
334,mriqc,4.6515528475138765,mriqc,snr
335,mriqc,4.497337152309598,mriqc,snr
336,mriqc,4.199554129304451,mriqc,snr
337,mriqc,4.565730003082997,mriqc,snr
338,mriqc,4.604721378013578,mriqc,snr
339,mriqc,4.630170395407015,mriqc,snr
340,mriqc,4.602110901981173,mriqc,snr
341,mriqc,4.602754011117651,mriqc,snr
342,mriqc,4.570770744513569,mriqc,snr
343,mriqc,4.651722268760062,mriqc,snr
344,mriqc,4.646111244037177,mriqc,snr
345,mriqc,4.925018498924133,mriqc,snr
346,mriqc,4.672947111658553,mriqc,snr
347,mriqc,4.58908240297965,mriqc,snr
348,mriqc,5.255897520732836,mriqc,snr
349,mriqc,4.910818668375487,mriqc,snr
350,mriqc,4.560348076075044,mriqc,snr
351,mriqc,5.089562568862569,mriqc,snr
352,mriqc,4.566731888320889,mriqc,snr
353,mriqc,4.846708623511431,mriqc,snr
354,mriqc,5.166578094836665,mriqc,snr
355,mriqc,5.289990055382888,mriqc,snr
356,mriqc,5.118821393034253,mriqc,snr
357,mriqc,5.136300431499507,mriqc,snr
358,mriqc,4.97138935996093,mriqc,snr
359,mriqc,5.212214964693335,mriqc,snr
360,mriqc,5.151594675409872,mriqc,snr
361,mriqc,5.102681920382755,mriqc,snr
362,mriqc,5.162426089362727,mriqc,snr
363,mriqc,5.133951553781404,mriqc,snr
364,mriqc,5.114980967909647,mriqc,snr
365,mriqc,4.637189366232088,mriqc,snr
366,mriqc,4.7433307922578125,mriqc,snr
367,mriqc,4.734169324903437,mriqc,snr
