,compare,tsnr,task,data type
300,mriqc,62.549842834472656,mriqc,tsnr
301,mriqc,48.139766693115234,mriqc,tsnr
302,mriqc,51.53388595581055,mriqc,tsnr
303,mriqc,37.74113464355469,mriqc,tsnr
304,mriqc,64.19625854492188,mriqc,tsnr
305,mriqc,54.3212890625,mriqc,tsnr
306,mriqc,67.26461029052734,mriqc,tsnr
307,mriqc,49.3607177734375,mriqc,tsnr
308,mriqc,54.98181915283203,mriqc,tsnr
309,mriqc,36.62363815307617,mriqc,tsnr
310,mriqc,59.42652130126953,mriqc,tsnr
311,mriqc,56.20061111450195,mriqc,tsnr
312,mriqc,57.68675994873047,mriqc,tsnr
313,mriqc,50.77245330810547,mriqc,tsnr
314,mriqc,32.67091369628906,mriqc,tsnr
315,mriqc,40.828392028808594,mriqc,tsnr
316,mriqc,42.43806076049805,mriqc,tsnr
317,mriqc,38.86492156982422,mriqc,tsnr
318,mriqc,55.64427947998047,mriqc,tsnr
319,mriqc,54.31121444702149,mriqc,tsnr
320,mriqc,27.629535675048828,mriqc,tsnr
321,mriqc,60.77162551879883,mriqc,tsnr
322,mriqc,46.09328079223633,mriqc,tsnr
323,mriqc,53.754661560058594,mriqc,tsnr
324,mriqc,57.340579986572266,mriqc,tsnr
325,mriqc,65.55091857910156,mriqc,tsnr
326,mriqc,45.982513427734375,mriqc,tsnr
327,mriqc,45.40214920043945,mriqc,tsnr
328,mriqc,63.55970764160156,mriqc,tsnr
329,mriqc,39.07046890258789,mriqc,tsnr
330,mriqc,49.83840560913086,mriqc,tsnr
331,mriqc,60.32154083251953,mriqc,tsnr
332,mriqc,48.472530364990234,mriqc,tsnr
333,mriqc,65.08743286132812,mriqc,tsnr
334,mriqc,61.052642822265625,mriqc,tsnr
335,mriqc,57.420433044433594,mriqc,tsnr
336,mriqc,49.94596862792969,mriqc,tsnr
337,mriqc,60.31455612182617,mriqc,tsnr
338,mriqc,64.86774444580078,mriqc,tsnr
339,mriqc,51.09886932373047,mriqc,tsnr
340,mriqc,62.356407165527344,mriqc,tsnr
341,mriqc,60.84300994873047,mriqc,tsnr
342,mriqc,55.486854553222656,mriqc,tsnr
343,mriqc,66.13333892822266,mriqc,tsnr
344,mriqc,68.06074523925781,mriqc,tsnr
345,mriqc,63.318580627441406,mriqc,tsnr
346,mriqc,62.98784637451172,mriqc,tsnr
347,mriqc,62.01495361328125,mriqc,tsnr
348,mriqc,65.28316497802734,mriqc,tsnr
349,mriqc,49.92943572998047,mriqc,tsnr
350,mriqc,66.32027435302734,mriqc,tsnr
351,mriqc,65.64443969726562,mriqc,tsnr
352,mriqc,64.69659423828125,mriqc,tsnr
353,mriqc,70.66384887695312,mriqc,tsnr
