,compare,aqi,task,data type
516,mriqc,0.0058774286666666,mriqc,aqi
517,mriqc,0.0067051364333333,mriqc,aqi
518,mriqc,0.0079673782278481,mriqc,aqi
519,mriqc,0.0223203171729957,mriqc,aqi
520,mriqc,0.0114618188362068,mriqc,aqi
521,mriqc,0.0082216673076923,mriqc,aqi
522,mriqc,0.0115922986752136,mriqc,aqi
523,mriqc,0.0126738008620689,mriqc,aqi
524,mriqc,0.0073409181666666,mriqc,aqi
525,mriqc,0.0068390391666666,mriqc,aqi
526,mriqc,0.0108056408888888,mriqc,aqi
527,mriqc,0.0109838192222222,mriqc,aqi
528,mriqc,0.0078070201111111,mriqc,aqi
529,mriqc,0.0102415702222222,mriqc,aqi
530,mriqc,0.0085278751666666,mriqc,aqi
531,mriqc,0.0078945481666666,mriqc,aqi
532,mriqc,0.0086038188333333,mriqc,aqi
533,mriqc,0.0077671871111111,mriqc,aqi
534,mriqc,0.0105472532777777,mriqc,aqi
535,mriqc,0.0090635367222222,mriqc,aqi
536,mriqc,0.0082118900555555,mriqc,aqi
537,mriqc,0.0081497803333333,mriqc,aqi
538,mriqc,0.0239082560337552,mriqc,aqi
539,mriqc,0.0088073876,mriqc,aqi
540,mriqc,0.0157668963666666,mriqc,aqi
541,mriqc,0.0251514446,mriqc,aqi
542,mriqc,0.0133242966333333,mriqc,aqi
543,mriqc,0.0163251846413502,mriqc,aqi
544,mriqc,0.0354289263333333,mriqc,aqi
545,mriqc,0.0229387380333333,mriqc,aqi
546,mriqc,0.0201999868888888,mriqc,aqi
547,mriqc,0.0078591456111111,mriqc,aqi
548,mriqc,0.0057052755,mriqc,aqi
549,mriqc,0.0075114455,mriqc,aqi
550,mriqc,0.017299697051282,mriqc,aqi
551,mriqc,0.0097168448666666,mriqc,aqi
552,mriqc,0.0059812931111111,mriqc,aqi
553,mriqc,0.0058786781111111,mriqc,aqi
554,mriqc,0.0135357287666666,mriqc,aqi
555,mriqc,0.0060860987222222,mriqc,aqi
556,mriqc,0.0057958100555555,mriqc,aqi
557,mriqc,0.0115599653666666,mriqc,aqi
558,mriqc,0.0179297039,mriqc,aqi
559,mriqc,0.0063650353017241,mriqc,aqi
560,mriqc,0.0109225143666666,mriqc,aqi
561,mriqc,0.0085178144396551,mriqc,aqi
562,mriqc,0.0095168903418803,mriqc,aqi
563,mriqc,0.0123391022,mriqc,aqi
564,mriqc,0.0107836468666666,mriqc,aqi
