,compare,fber,task,data type
440,mriqc,2365.029052734375,mriqc,fber
441,mriqc,1325.304931640625,mriqc,fber
442,mriqc,2348.527099609375,mriqc,fber
443,mriqc,1385.2674560546875,mriqc,fber
444,mriqc,1872.5029296875,mriqc,fber
445,mriqc,1884.155517578125,mriqc,fber
446,mriqc,2627.10205078125,mriqc,fber
447,mriqc,3306.460693359375,mriqc,fber
448,mriqc,2164.418701171875,mriqc,fber
449,mriqc,2437.9443359375,mriqc,fber
450,mriqc,1394.74560546875,mriqc,fber
451,mriqc,2181.62841796875,mriqc,fber
452,mriqc,2239.732177734375,mriqc,fber
453,mriqc,3342.070556640625,mriqc,fber
454,mriqc,2552.14990234375,mriqc,fber
455,mriqc,2253.3662109375,mriqc,fber
456,mriqc,1332.9404296875,mriqc,fber
457,mriqc,1904.560791015625,mriqc,fber
458,mriqc,2178.902587890625,mriqc,fber
459,mriqc,2421.88232421875,mriqc,fber
460,mriqc,2547.392578125,mriqc,fber
461,mriqc,1363.5135498046875,mriqc,fber
462,mriqc,3261.316650390625,mriqc,fber
463,mriqc,1293.7308349609375,mriqc,fber
464,mriqc,1959.1983642578125,mriqc,fber
465,mriqc,1857.877685546875,mriqc,fber
466,mriqc,1846.193603515625,mriqc,fber
467,mriqc,3058.91748046875,mriqc,fber
468,mriqc,3076.51123046875,mriqc,fber
469,mriqc,2695.537841796875,mriqc,fber
470,mriqc,2749.89404296875,mriqc,fber
471,mriqc,2659.2060546875,mriqc,fber
472,mriqc,3045.213134765625,mriqc,fber
473,mriqc,2729.0634765625,mriqc,fber
474,mriqc,2655.03369140625,mriqc,fber
475,mriqc,2680.099853515625,mriqc,fber
476,mriqc,3078.27099609375,mriqc,fber
477,mriqc,2734.96923828125,mriqc,fber
478,mriqc,2655.99609375,mriqc,fber
479,mriqc,3067.5966796875,mriqc,fber
480,mriqc,3096.163330078125,mriqc,fber
481,mriqc,2780.238525390625,mriqc,fber
482,mriqc,2703.31982421875,mriqc,fber
483,mriqc,2741.666259765625,mriqc,fber
484,mriqc,2689.56640625,mriqc,fber
485,mriqc,3420.67431640625,mriqc,fber
486,mriqc,1444.7301025390625,mriqc,fber
487,mriqc,2414.035888671875,mriqc,fber
488,mriqc,3420.888427734375,mriqc,fber
489,mriqc,2327.203369140625,mriqc,fber
490,mriqc,2124.853271484375,mriqc,fber
491,mriqc,1828.6439208984375,mriqc,fber
492,mriqc,3333.24658203125,mriqc,fber
493,mriqc,1818.978759765625,mriqc,fber
494,mriqc,2406.528076171875,mriqc,fber
495,mriqc,2356.380126953125,mriqc,fber
496,mriqc,2119.012939453125,mriqc,fber
497,mriqc,1468.3951416015625,mriqc,fber
498,mriqc,2164.418701171875,mriqc,fber
499,mriqc,2407.325439453125,mriqc,fber
500,mriqc,1830.176513671875,mriqc,fber
501,mriqc,1884.155517578125,mriqc,fber
502,mriqc,2181.62841796875,mriqc,fber
503,mriqc,1804.4072265625,mriqc,fber
504,mriqc,2281.8525390625,mriqc,fber
505,mriqc,2336.248779296875,mriqc,fber
506,mriqc,2239.732177734375,mriqc,fber
507,mriqc,2148.207275390625,mriqc,fber
508,mriqc,2348.3330078125,mriqc,fber
509,mriqc,2402.315185546875,mriqc,fber
510,mriqc,1872.5029296875,mriqc,fber
511,mriqc,1673.717041015625,mriqc,fber
512,mriqc,2178.902587890625,mriqc,fber
513,mriqc,2388.044921875,mriqc,fber
514,mriqc,1780.69970703125,mriqc,fber
515,mriqc,1904.560791015625,mriqc,fber
516,mriqc,2253.3662109375,mriqc,fber
517,mriqc,2365.029052734375,mriqc,fber
518,mriqc,3318.357177734375,mriqc,fber
519,mriqc,1829.38427734375,mriqc,fber
520,mriqc,2279.696044921875,mriqc,fber
521,mriqc,1828.2247314453125,mriqc,fber
522,mriqc,2388.80078125,mriqc,fber
523,mriqc,2113.7197265625,mriqc,fber
524,mriqc,3343.318115234375,mriqc,fber
525,mriqc,3417.0029296875,mriqc,fber
526,mriqc,1418.0238037109375,mriqc,fber
527,mriqc,1446.7066650390625,mriqc,fber
528,mriqc,2659.3388671875,mriqc,fber
529,mriqc,2248.770263671875,mriqc,fber
530,mriqc,2420.667724609375,mriqc,fber
531,mriqc,1850.6358642578125,mriqc,fber
532,mriqc,1793.3148193359375,mriqc,fber
533,mriqc,2404.8330078125,mriqc,fber
534,mriqc,2262.51708984375,mriqc,fber
535,mriqc,2148.147216796875,mriqc,fber
536,mriqc,2662.824951171875,mriqc,fber
537,mriqc,2158.731201171875,mriqc,fber
538,mriqc,2626.195556640625,mriqc,fber
539,mriqc,1959.1983642578125,mriqc,fber
540,mriqc,1857.877685546875,mriqc,fber
541,mriqc,2850.4228515625,mriqc,fber
542,mriqc,1846.193603515625,mriqc,fber
543,mriqc,2674.98974609375,mriqc,fber
544,mriqc,2757.400634765625,mriqc,fber
545,mriqc,2914.6865234375,mriqc,fber
546,mriqc,2579.269775390625,mriqc,fber
547,mriqc,2661.1904296875,mriqc,fber
548,mriqc,2278.805908203125,mriqc,fber
549,mriqc,2268.054443359375,mriqc,fber
550,mriqc,2167.011962890625,mriqc,fber
551,mriqc,2627.10205078125,mriqc,fber
552,mriqc,3344.26904296875,mriqc,fber
553,mriqc,2523.31103515625,mriqc,fber
554,mriqc,2552.14990234375,mriqc,fber
555,mriqc,3348.991455078125,mriqc,fber
556,mriqc,2529.397216796875,mriqc,fber
557,mriqc,1325.304931640625,mriqc,fber
558,mriqc,2547.392578125,mriqc,fber
559,mriqc,3327.162109375,mriqc,fber
560,mriqc,1332.9404296875,mriqc,fber
561,mriqc,2433.072998046875,mriqc,fber
562,mriqc,2220.16650390625,mriqc,fber
563,mriqc,1293.7308349609375,mriqc,fber
564,mriqc,1385.2674560546875,mriqc,fber
565,mriqc,2919.582275390625,mriqc,fber
566,mriqc,1394.74560546875,mriqc,fber
567,mriqc,3320.20849609375,mriqc,fber
568,mriqc,2906.420166015625,mriqc,fber
569,mriqc,1363.5135498046875,mriqc,fber
570,mriqc,2773.16943359375,mriqc,fber
571,mriqc,2825.806396484375,mriqc,fber
572,mriqc,2491.186279296875,mriqc,fber
573,mriqc,2758.2568359375,mriqc,fber
574,mriqc,2316.3115234375,mriqc,fber
575,mriqc,2229.643798828125,mriqc,fber
576,mriqc,2860.353759765625,mriqc,fber
577,mriqc,2896.677734375,mriqc,fber
578,mriqc,1826.300537109375,mriqc,fber
579,mriqc,1818.00927734375,mriqc,fber
580,mriqc,2787.9736328125,mriqc,fber
581,mriqc,2288.6279296875,mriqc,fber
582,mriqc,1864.5799560546875,mriqc,fber
583,mriqc,2854.226318359375,mriqc,fber
584,mriqc,2226.755859375,mriqc,fber
585,mriqc,2333.954345703125,mriqc,fber
586,mriqc,2318.458251953125,mriqc,fber
587,mriqc,2210.25830078125,mriqc,fber
588,mriqc,2249.478271484375,mriqc,fber
589,mriqc,2318.505126953125,mriqc,fber
590,mriqc,3350.22265625,mriqc,fber
591,mriqc,3242.867431640625,mriqc,fber
592,mriqc,2836.877197265625,mriqc,fber
593,mriqc,2871.591064453125,mriqc,fber
594,mriqc,2553.6650390625,mriqc,fber
595,mriqc,2493.5263671875,mriqc,fber
596,mriqc,2286.88720703125,mriqc,fber
597,mriqc,3306.460693359375,mriqc,fber
598,mriqc,3342.070556640625,mriqc,fber
599,mriqc,2146.788818359375,mriqc,fber
600,mriqc,3261.316650390625,mriqc,fber
601,mriqc,2265.39892578125,mriqc,fber
602,mriqc,2872.734619140625,mriqc,fber
603,mriqc,2855.479248046875,mriqc,fber
