,compare,gsr_x,task,data type
323,mriqc,0.0037177079357206,mriqc,gsr_x
324,mriqc,-0.0180808585137128,mriqc,gsr_x
325,mriqc,-0.0090056369081139,mriqc,gsr_x
326,mriqc,-0.0162991154938936,mriqc,gsr_x
327,mriqc,-0.0092972507700324,mriqc,gsr_x
328,mriqc,-0.0149063309654593,mriqc,gsr_x
329,mriqc,0.0237118676304817,mriqc,gsr_x
330,mriqc,-0.0101132225245237,mriqc,gsr_x
331,mriqc,0.003379687666893,mriqc,gsr_x
332,mriqc,0.0018740585073828,mriqc,gsr_x
333,mriqc,-0.0142395319417119,mriqc,gsr_x
334,mriqc,-0.0160301923751831,mriqc,gsr_x
335,mriqc,-0.01824252307415,mriqc,gsr_x
336,mriqc,-0.0183522030711174,mriqc,gsr_x
337,mriqc,-0.0201181937009096,mriqc,gsr_x
338,mriqc,-0.020036231726408,mriqc,gsr_x
339,mriqc,-0.0172693636268377,mriqc,gsr_x
340,mriqc,-0.0210784934461116,mriqc,gsr_x
341,mriqc,-0.0176426321268081,mriqc,gsr_x
342,mriqc,-0.0174957290291786,mriqc,gsr_x
343,mriqc,-0.0159064549952745,mriqc,gsr_x
344,mriqc,-0.0150993559509515,mriqc,gsr_x
345,mriqc,-0.0142730651423335,mriqc,gsr_x
346,mriqc,-0.0162236616015434,mriqc,gsr_x
347,mriqc,-0.0190880075097084,mriqc,gsr_x
348,mriqc,-0.0117000062018632,mriqc,gsr_x
349,mriqc,-0.0150346895679831,mriqc,gsr_x
350,mriqc,-0.0177593156695365,mriqc,gsr_x
351,mriqc,-0.0129742547869682,mriqc,gsr_x
352,mriqc,-0.0174234770238399,mriqc,gsr_x
353,mriqc,-0.0141637036576867,mriqc,gsr_x
354,mriqc,-0.0149034280329942,mriqc,gsr_x
355,mriqc,-0.0106453774496912,mriqc,gsr_x
356,mriqc,-0.0112851224839687,mriqc,gsr_x
357,mriqc,-0.0118884844705462,mriqc,gsr_x
358,mriqc,-0.0111461309716105,mriqc,gsr_x
359,mriqc,-0.0102269938215613,mriqc,gsr_x
360,mriqc,-0.0094354376196861,mriqc,gsr_x
361,mriqc,-0.0106166936457157,mriqc,gsr_x
362,mriqc,-0.0108635928481817,mriqc,gsr_x
363,mriqc,-0.0085880756378173,mriqc,gsr_x
364,mriqc,-0.0135831274092197,mriqc,gsr_x
365,mriqc,-0.0218115393072366,mriqc,gsr_x
366,mriqc,-0.0203818213194608,mriqc,gsr_x
367,mriqc,-0.0206660013645887,mriqc,gsr_x
368,mriqc,-0.0110521605238318,mriqc,gsr_x
369,mriqc,-0.0160974636673927,mriqc,gsr_x
370,mriqc,-0.0111287245526909,mriqc,gsr_x
371,mriqc,-0.0137369278818368,mriqc,gsr_x
372,mriqc,-0.0143434228375554,mriqc,gsr_x
373,mriqc,-0.0123755410313606,mriqc,gsr_x
374,mriqc,-0.0119993947446346,mriqc,gsr_x
375,mriqc,-0.0185134261846542,mriqc,gsr_x
376,mriqc,-0.0134222833439707,mriqc,gsr_x
377,mriqc,-0.0134338410571217,mriqc,gsr_x
378,mriqc,-0.0099111748859286,mriqc,gsr_x
379,mriqc,-0.0063008153811097,mriqc,gsr_x
380,mriqc,-0.0099470159038901,mriqc,gsr_x
381,mriqc,-0.0066036363132297,mriqc,gsr_x
382,mriqc,-0.0063404799439013,mriqc,gsr_x
383,mriqc,-0.011451531201601,mriqc,gsr_x
384,mriqc,-0.0149353053420782,mriqc,gsr_x
385,mriqc,-0.0054450812749564,mriqc,gsr_x
386,mriqc,-0.0189841296523809,mriqc,gsr_x
387,mriqc,-0.0062607252039015,mriqc,gsr_x
388,mriqc,-0.0066614034585654,mriqc,gsr_x
389,mriqc,-0.0127666378393769,mriqc,gsr_x
390,mriqc,-0.0050541795790195,mriqc,gsr_x
391,mriqc,-0.0126807829365134,mriqc,gsr_x
392,mriqc,-0.0060040932148694,mriqc,gsr_x
393,mriqc,-0.0195874944329261,mriqc,gsr_x
394,mriqc,-0.0048878570087254,mriqc,gsr_x
395,mriqc,-0.0131999207660555,mriqc,gsr_x
396,mriqc,-0.0139002222567796,mriqc,gsr_x
397,mriqc,-0.0054855630733072,mriqc,gsr_x
398,mriqc,-0.0050206924788653,mriqc,gsr_x
399,mriqc,-0.0196882728487253,mriqc,gsr_x
400,mriqc,-0.0047800471074879,mriqc,gsr_x
401,mriqc,-0.0209610667079687,mriqc,gsr_x
402,mriqc,-0.0141033083200454,mriqc,gsr_x
403,mriqc,-0.0159788373857736,mriqc,gsr_x
404,mriqc,-0.0065043163485825,mriqc,gsr_x
405,mriqc,-0.018259197473526,mriqc,gsr_x
406,mriqc,-0.0146129401400685,mriqc,gsr_x
407,mriqc,-0.0160567965358495,mriqc,gsr_x
408,mriqc,-0.005056926049292,mriqc,gsr_x
409,mriqc,-0.0048791053704917,mriqc,gsr_x
410,mriqc,-0.0108997970819473,mriqc,gsr_x
411,mriqc,-0.0109455995261669,mriqc,gsr_x
412,mriqc,-0.0107734212651848,mriqc,gsr_x
413,mriqc,-0.0133740277960896,mriqc,gsr_x
414,mriqc,-0.0144426943734288,mriqc,gsr_x
415,mriqc,0.0029458471108227,mriqc,gsr_x
416,mriqc,0.0015222557121887,mriqc,gsr_x
417,mriqc,0.0006427700864151,mriqc,gsr_x
418,mriqc,0.000588116585277,mriqc,gsr_x
419,mriqc,0.0054857451468706,mriqc,gsr_x
420,mriqc,0.0042947717010974,mriqc,gsr_x
421,mriqc,-0.0063363760709762,mriqc,gsr_x
422,mriqc,-0.0056572561152279,mriqc,gsr_x
423,mriqc,-0.0023669942747801,mriqc,gsr_x
424,mriqc,0.0021204822696745,mriqc,gsr_x
425,mriqc,-0.0055142268538475,mriqc,gsr_x
426,mriqc,-0.0058950195088982,mriqc,gsr_x
427,mriqc,-0.0015681198565289,mriqc,gsr_x
428,mriqc,0.0005308263353072,mriqc,gsr_x
429,mriqc,-0.0116141475737094,mriqc,gsr_x
430,mriqc,-0.0048371921293437,mriqc,gsr_x
431,mriqc,-0.0104361660778522,mriqc,gsr_x
432,mriqc,-0.0084796920418739,mriqc,gsr_x
433,mriqc,-0.0100224604830145,mriqc,gsr_x
434,mriqc,-0.0092592434957623,mriqc,gsr_x
435,mriqc,-0.0097727868705987,mriqc,gsr_x
436,mriqc,-0.0085576009005308,mriqc,gsr_x
437,mriqc,-0.0094655398279428,mriqc,gsr_x
438,mriqc,-0.0071272808127105,mriqc,gsr_x
439,mriqc,-0.0071715423837304,mriqc,gsr_x
440,mriqc,-0.0104033546522259,mriqc,gsr_x
441,mriqc,0.0195125341415405,mriqc,gsr_x
442,mriqc,-0.0005837560165673,mriqc,gsr_x
443,mriqc,-0.0022267152089625,mriqc,gsr_x
444,mriqc,-0.0003341151750646,mriqc,gsr_x
445,mriqc,-0.0004481512296479,mriqc,gsr_x
446,mriqc,-0.005038377828896,mriqc,gsr_x
447,mriqc,-0.0058366768062114,mriqc,gsr_x
448,mriqc,-0.0113377636298537,mriqc,gsr_x
