,compare,efc,task,data type
262,mriqc,0.5246137433606157,mriqc,efc
263,mriqc,0.5898507026308611,mriqc,efc
264,mriqc,0.5909664211262997,mriqc,efc
265,mriqc,0.5781948253186656,mriqc,efc
266,mriqc,0.5938359637478137,mriqc,efc
267,mriqc,0.5790077515856904,mriqc,efc
268,mriqc,0.5357069167494374,mriqc,efc
269,mriqc,0.5241238641893693,mriqc,efc
270,mriqc,0.5912535454674901,mriqc,efc
271,mriqc,0.59049056059099,mriqc,efc
272,mriqc,0.5358891074775127,mriqc,efc
273,mriqc,0.5297221961428997,mriqc,efc
274,mriqc,0.5529956572139781,mriqc,efc
275,mriqc,0.5038611628812267,mriqc,efc
276,mriqc,0.5474886010113449,mriqc,efc
277,mriqc,0.5446210168757339,mriqc,efc
278,mriqc,0.5300016926968891,mriqc,efc
279,mriqc,0.608661702033007,mriqc,efc
280,mriqc,0.5457041111191578,mriqc,efc
281,mriqc,0.6076790575007622,mriqc,efc
282,mriqc,0.5919440148264788,mriqc,efc
283,mriqc,0.5016685348346892,mriqc,efc
284,mriqc,0.5325114923814961,mriqc,efc
285,mriqc,0.5466456789865437,mriqc,efc
286,mriqc,0.5477141361247984,mriqc,efc
287,mriqc,0.6051850803206869,mriqc,efc
288,mriqc,0.5009618821974499,mriqc,efc
289,mriqc,0.5296889534216526,mriqc,efc
290,mriqc,0.5550778885025135,mriqc,efc
291,mriqc,0.5909331784050526,mriqc,efc
292,mriqc,0.6134851951164142,mriqc,efc
293,mriqc,0.6120494187931544,mriqc,efc
294,mriqc,0.5314451998855553,mriqc,efc
295,mriqc,0.519573579889421,mriqc,efc
296,mriqc,0.6117351333448366,mriqc,efc
297,mriqc,0.517315394104238,mriqc,efc
298,mriqc,0.5249811140847236,mriqc,efc
299,mriqc,0.5536041278605575,mriqc,efc
300,mriqc,0.5462669181207372,mriqc,efc
301,mriqc,0.5457378692314321,mriqc,efc
302,mriqc,0.5914358392737709,mriqc,efc
303,mriqc,0.5324874751596339,mriqc,efc
304,mriqc,0.5379584024512682,mriqc,efc
305,mriqc,0.5906440955779593,mriqc,efc
306,mriqc,0.5368446424417326,mriqc,efc
307,mriqc,0.5850917880431479,mriqc,efc
308,mriqc,0.534625832531019,mriqc,efc
309,mriqc,0.6090950943476846,mriqc,efc
310,mriqc,0.593960121446239,mriqc,efc
311,mriqc,0.5457398792564377,mriqc,efc
312,mriqc,0.5837969196266937,mriqc,efc
313,mriqc,0.5868392213204873,mriqc,efc
314,mriqc,0.5190210291692806,mriqc,efc
315,mriqc,0.5912785934714064,mriqc,efc
316,mriqc,0.6134988014395294,mriqc,efc
317,mriqc,0.6137033085990776,mriqc,efc
318,mriqc,0.5087854664495323,mriqc,efc
319,mriqc,0.5359470374289573,mriqc,efc
320,mriqc,0.6150857419510338,mriqc,efc
321,mriqc,0.5365009281657681,mriqc,efc
322,mriqc,0.6154575450379747,mriqc,efc
323,mriqc,0.5624124182089929,mriqc,efc
324,mriqc,0.5237309300703179,mriqc,efc
325,mriqc,0.537701686180676,mriqc,efc
326,mriqc,0.521467796531275,mriqc,efc
327,mriqc,0.5040919549831564,mriqc,efc
328,mriqc,0.564059607931564,mriqc,efc
329,mriqc,0.6144235675594321,mriqc,efc
330,mriqc,0.5047582009638721,mriqc,efc
331,mriqc,0.5624229837250482,mriqc,efc
332,mriqc,0.5603388454897126,mriqc,efc
333,mriqc,0.56408578979574,mriqc,efc
334,mriqc,0.5640371884218857,mriqc,efc
335,mriqc,0.5876228218380709,mriqc,efc
336,mriqc,0.525669728036015,mriqc,efc
337,mriqc,0.5937402556340835,mriqc,efc
338,mriqc,0.5931213740887571,mriqc,efc
339,mriqc,0.589021747702894,mriqc,efc
340,mriqc,0.5924745068106598,mriqc,efc
341,mriqc,0.5858169432182596,mriqc,efc
342,mriqc,0.5862329153162218,mriqc,efc
343,mriqc,0.5892745985407829,mriqc,efc
344,mriqc,0.5882276847474605,mriqc,efc
345,mriqc,0.5607960488698417,mriqc,efc
346,mriqc,0.5878252674335107,mriqc,efc
347,mriqc,0.5891285882628091,mriqc,efc
348,mriqc,0.5082535313704755,mriqc,efc
349,mriqc,0.561626240736274,mriqc,efc
350,mriqc,0.5913712607780768,mriqc,efc
351,mriqc,0.5097778003330862,mriqc,efc
352,mriqc,0.5899015717252346,mriqc,efc
353,mriqc,0.5597266640277383,mriqc,efc
354,mriqc,0.511972850717451,mriqc,efc
355,mriqc,0.5085504996802832,mriqc,efc
356,mriqc,0.5318655528072477,mriqc,efc
357,mriqc,0.5304330749865612,mriqc,efc
358,mriqc,0.530350303187611,mriqc,efc
359,mriqc,0.5321750451190136,mriqc,efc
360,mriqc,0.5325326749527094,mriqc,efc
361,mriqc,0.5321329376721005,mriqc,efc
362,mriqc,0.5316267721443981,mriqc,efc
363,mriqc,0.5318099936545276,mriqc,efc
364,mriqc,0.5553437271942852,mriqc,efc
365,mriqc,0.5485474203373931,mriqc,efc
366,mriqc,0.5424469429061716,mriqc,efc
367,mriqc,0.5500930780276279,mriqc,efc
368,mriqc,0.5089048825505085,mriqc,efc
369,mriqc,0.5456120107426173,mriqc,efc
370,mriqc,0.5086347145741092,mriqc,efc
371,mriqc,0.5571029113870423,mriqc,efc
372,mriqc,0.5566693129159537,mriqc,efc
373,mriqc,0.5091378908338546,mriqc,efc
374,mriqc,0.559925965737913,mriqc,efc
375,mriqc,0.5502694448370972,mriqc,efc
