,compare,gsr_y,task,data type
337,mriqc,0.0688318312168121,mriqc,gsr_y
338,mriqc,0.0689684525132179,mriqc,gsr_y
339,mriqc,0.0694253370165824,mriqc,gsr_y
340,mriqc,0.0697271600365638,mriqc,gsr_y
341,mriqc,0.0701407790184021,mriqc,gsr_y
342,mriqc,0.0696599930524826,mriqc,gsr_y
343,mriqc,0.0672427639365196,mriqc,gsr_y
344,mriqc,0.0666723176836967,mriqc,gsr_y
345,mriqc,0.0478309318423271,mriqc,gsr_y
346,mriqc,0.0666282847523689,mriqc,gsr_y
347,mriqc,0.0723615735769271,mriqc,gsr_y
348,mriqc,0.0452461466193199,mriqc,gsr_y
349,mriqc,0.0488754622638225,mriqc,gsr_y
350,mriqc,0.069684512913227,mriqc,gsr_y
351,mriqc,0.045191865414381,mriqc,gsr_y
352,mriqc,0.0691298171877861,mriqc,gsr_y
353,mriqc,0.0483497530221939,mriqc,gsr_y
354,mriqc,0.0402677804231643,mriqc,gsr_y
355,mriqc,0.0417959503829479,mriqc,gsr_y
356,mriqc,0.0401326604187488,mriqc,gsr_y
357,mriqc,0.0404955856502056,mriqc,gsr_y
358,mriqc,0.0419553630053997,mriqc,gsr_y
359,mriqc,0.0400974825024604,mriqc,gsr_y
360,mriqc,0.038470558822155,mriqc,gsr_y
361,mriqc,0.0377054214477539,mriqc,gsr_y
362,mriqc,0.0381601266562938,mriqc,gsr_y
363,mriqc,0.0372019857168197,mriqc,gsr_y
364,mriqc,0.0465838313102722,mriqc,gsr_y
365,mriqc,0.0591915100812912,mriqc,gsr_y
366,mriqc,0.0588270984590053,mriqc,gsr_y
367,mriqc,0.0557114519178867,mriqc,gsr_y
368,mriqc,0.0420402884483337,mriqc,gsr_y
369,mriqc,0.0570633895695209,mriqc,gsr_y
370,mriqc,0.0417429320514202,mriqc,gsr_y
371,mriqc,0.0416547805070877,mriqc,gsr_y
372,mriqc,0.0428096503019332,mriqc,gsr_y
373,mriqc,0.0427780151367187,mriqc,gsr_y
374,mriqc,0.038469098508358,mriqc,gsr_y
375,mriqc,0.0523340851068496,mriqc,gsr_y
376,mriqc,0.0383173935115337,mriqc,gsr_y
377,mriqc,0.0388974174857139,mriqc,gsr_y
378,mriqc,0.0362302437424659,mriqc,gsr_y
379,mriqc,0.0395051129162311,mriqc,gsr_y
380,mriqc,0.0368820503354072,mriqc,gsr_y
381,mriqc,0.0364179834723472,mriqc,gsr_y
382,mriqc,0.0380856730043888,mriqc,gsr_y
383,mriqc,0.0407194383442401,mriqc,gsr_y
384,mriqc,0.0526116788387298,mriqc,gsr_y
385,mriqc,0.0352843813598156,mriqc,gsr_y
386,mriqc,0.057401493191719,mriqc,gsr_y
387,mriqc,0.0361300483345985,mriqc,gsr_y
388,mriqc,0.0360072255134582,mriqc,gsr_y
389,mriqc,0.0418370775878429,mriqc,gsr_y
390,mriqc,0.0325883366167545,mriqc,gsr_y
391,mriqc,0.0427483357489109,mriqc,gsr_y
392,mriqc,0.0338104702532291,mriqc,gsr_y
393,mriqc,0.0564051866531372,mriqc,gsr_y
394,mriqc,0.0327473655343055,mriqc,gsr_y
395,mriqc,0.0452054291963577,mriqc,gsr_y
396,mriqc,0.0465451218187809,mriqc,gsr_y
397,mriqc,0.0333579666912555,mriqc,gsr_y
398,mriqc,0.0331941097974777,mriqc,gsr_y
399,mriqc,0.0573000013828277,mriqc,gsr_y
400,mriqc,0.0330386273562908,mriqc,gsr_y
401,mriqc,0.0595302209258079,mriqc,gsr_y
402,mriqc,0.0461416691541671,mriqc,gsr_y
403,mriqc,0.0500165820121765,mriqc,gsr_y
404,mriqc,0.0385825149714946,mriqc,gsr_y
405,mriqc,0.054055631160736,mriqc,gsr_y
406,mriqc,0.0438013337552547,mriqc,gsr_y
407,mriqc,0.0497427023947238,mriqc,gsr_y
408,mriqc,0.0373795330524444,mriqc,gsr_y
409,mriqc,0.0368391536176204,mriqc,gsr_y
410,mriqc,0.0394155755639076,mriqc,gsr_y
411,mriqc,0.0392116755247116,mriqc,gsr_y
412,mriqc,0.0389875024557113,mriqc,gsr_y
413,mriqc,0.040486704558134,mriqc,gsr_y
414,mriqc,0.0447266809642314,mriqc,gsr_y
415,mriqc,0.014737675897777,mriqc,gsr_y
416,mriqc,0.0154531700536608,mriqc,gsr_y
417,mriqc,0.0154538853093981,mriqc,gsr_y
418,mriqc,0.015633737668395,mriqc,gsr_y
419,mriqc,0.0256651267409324,mriqc,gsr_y
420,mriqc,0.02627226524055,mriqc,gsr_y
421,mriqc,0.0266087017953395,mriqc,gsr_y
422,mriqc,0.0271573215723037,mriqc,gsr_y
423,mriqc,0.0082765938714146,mriqc,gsr_y
424,mriqc,0.0203022956848144,mriqc,gsr_y
425,mriqc,0.0344286598265171,mriqc,gsr_y
426,mriqc,0.0338024385273456,mriqc,gsr_y
427,mriqc,0.0074853342957794,mriqc,gsr_y
428,mriqc,0.019748555496335,mriqc,gsr_y
429,mriqc,0.0123025961220264,mriqc,gsr_y
430,mriqc,0.0317997559905052,mriqc,gsr_y
431,mriqc,0.0122143514454364,mriqc,gsr_y
432,mriqc,0.0128410616889595,mriqc,gsr_y
433,mriqc,0.0347842797636985,mriqc,gsr_y
434,mriqc,0.0297631751745939,mriqc,gsr_y
435,mriqc,0.0338406227529048,mriqc,gsr_y
436,mriqc,0.013036910444498,mriqc,gsr_y
437,mriqc,0.0135316802188754,mriqc,gsr_y
438,mriqc,0.0301695596426725,mriqc,gsr_y
439,mriqc,0.0141813112422823,mriqc,gsr_y
440,mriqc,0.0345175638794899,mriqc,gsr_y
441,mriqc,0.0186955370008945,mriqc,gsr_y
442,mriqc,0.0184524934738874,mriqc,gsr_y
443,mriqc,0.0244161672890186,mriqc,gsr_y
444,mriqc,0.0276898946613073,mriqc,gsr_y
445,mriqc,0.0280976183712482,mriqc,gsr_y
446,mriqc,0.0192965250462293,mriqc,gsr_y
447,mriqc,0.0089578703045845,mriqc,gsr_y
448,mriqc,0.0096391309052705,mriqc,gsr_y
449,mriqc,0.0186225697398185,mriqc,gsr_y
450,mriqc,0.0241771154105663,mriqc,gsr_y
451,mriqc,0.018918290734291,mriqc,gsr_y
452,mriqc,0.0186853948980569,mriqc,gsr_y
453,mriqc,0.0090655330568552,mriqc,gsr_y
454,mriqc,0.0189082119613885,mriqc,gsr_y
455,mriqc,0.0193397123366594,mriqc,gsr_y
456,mriqc,0.0175543837249279,mriqc,gsr_y
457,mriqc,0.027699664235115,mriqc,gsr_y
458,mriqc,0.0089480644091963,mriqc,gsr_y
459,mriqc,0.0188835877925157,mriqc,gsr_y
460,mriqc,0.0169488992542028,mriqc,gsr_y
461,mriqc,0.0239312481135129,mriqc,gsr_y
462,mriqc,0.0099399983882904,mriqc,gsr_y
463,mriqc,0.0167938191443681,mriqc,gsr_y
464,mriqc,0.0300954412668943,mriqc,gsr_y
465,mriqc,0.0287198480218648,mriqc,gsr_y
466,mriqc,0.0268553793430328,mriqc,gsr_y
467,mriqc,0.022718921303749,mriqc,gsr_y
468,mriqc,0.0223766788840293,mriqc,gsr_y
469,mriqc,0.041358083486557,mriqc,gsr_y
470,mriqc,0.0196531154215335,mriqc,gsr_y
471,mriqc,0.0397158302366733,mriqc,gsr_y
472,mriqc,0.0232588090002536,mriqc,gsr_y
473,mriqc,0.0194699149578809,mriqc,gsr_y
474,mriqc,0.0428592152893543,mriqc,gsr_y
475,mriqc,0.0213673450052738,mriqc,gsr_y
476,mriqc,0.0223946217447519,mriqc,gsr_y
477,mriqc,0.0205044168978929,mriqc,gsr_y
478,mriqc,0.0420235656201839,mriqc,gsr_y
479,mriqc,0.0218891222029924,mriqc,gsr_y
480,mriqc,0.0222379174083471,mriqc,gsr_y
481,mriqc,0.0196429174393415,mriqc,gsr_y
482,mriqc,0.019499784335494,mriqc,gsr_y
483,mriqc,0.0385948829352855,mriqc,gsr_y
484,mriqc,0.0383832938969135,mriqc,gsr_y
485,mriqc,0.0296147670596838,mriqc,gsr_y
486,mriqc,0.0154531700536608,mriqc,gsr_y
487,mriqc,0.0170029494911432,mriqc,gsr_y
488,mriqc,0.0295719429850578,mriqc,gsr_y
489,mriqc,0.0382739417254924,mriqc,gsr_y
490,mriqc,0.0435551330447196,mriqc,gsr_y
491,mriqc,0.048646617680788,mriqc,gsr_y
492,mriqc,0.0319594666361808,mriqc,gsr_y
493,mriqc,0.0478217341005802,mriqc,gsr_y
494,mriqc,0.0153398662805557,mriqc,gsr_y
495,mriqc,0.0360467694699764,mriqc,gsr_y
496,mriqc,0.0431287549436092,mriqc,gsr_y
497,mriqc,0.014737675897777,mriqc,gsr_y
498,mriqc,0.0096391309052705,mriqc,gsr_y
499,mriqc,0.0172146651893854,mriqc,gsr_y
500,mriqc,0.0507773868739604,mriqc,gsr_y
501,mriqc,0.0280976183712482,mriqc,gsr_y
502,mriqc,0.018918290734291,mriqc,gsr_y
