,compare,aor,task,data type
495,mriqc,0.0005768888888888,mriqc,aor
496,mriqc,0.0005333333333333,mriqc,aor
497,mriqc,0.0018783333333333,mriqc,aor
498,mriqc,0.0005327666666666,mriqc,aor
499,mriqc,0.0006648717948717,mriqc,aor
500,mriqc,0.0010532478632478,mriqc,aor
501,mriqc,0.0003633333333333,mriqc,aor
502,mriqc,0.0011266,mriqc,aor
503,mriqc,0.007324135021097,mriqc,aor
504,mriqc,0.0007603017241379,mriqc,aor
505,mriqc,0.0003535333333333,mriqc,aor
506,mriqc,0.0006322,mriqc,aor
507,mriqc,0.0005553017241379,mriqc,aor
508,mriqc,0.0003722,mriqc,aor
509,mriqc,0.0010850666666666,mriqc,aor
510,mriqc,0.0004582666666666,mriqc,aor
511,mriqc,0.0005461,mriqc,aor
512,mriqc,0.0006469,mriqc,aor
513,mriqc,0.0005184666666666,mriqc,aor
514,mriqc,0.0004241,mriqc,aor
515,mriqc,0.0005373999999999,mriqc,aor
516,mriqc,0.0005406,mriqc,aor
517,mriqc,0.0004504666666666,mriqc,aor
518,mriqc,0.0005983544303797,mriqc,aor
519,mriqc,0.0134400843881856,mriqc,aor
520,mriqc,0.0005401293103448,mriqc,aor
521,mriqc,0.0008984615384615,mriqc,aor
522,mriqc,0.0006926923076923,mriqc,aor
523,mriqc,0.0006330603448275,mriqc,aor
524,mriqc,0.0015917222222222,mriqc,aor
525,mriqc,0.0010793888888888,mriqc,aor
526,mriqc,0.0016474444444444,mriqc,aor
527,mriqc,0.0012611666666666,mriqc,aor
528,mriqc,0.0007302222222222,mriqc,aor
529,mriqc,0.0008106666666666,mriqc,aor
530,mriqc,0.0009113333333333,mriqc,aor
531,mriqc,0.0009357222222222,mriqc,aor
532,mriqc,0.0012316666666666,mriqc,aor
533,mriqc,0.0007240555555555,mriqc,aor
534,mriqc,0.0008563888888888,mriqc,aor
535,mriqc,0.0005877222222222,mriqc,aor
536,mriqc,0.0008161111111111,mriqc,aor
537,mriqc,0.0006148333333333,mriqc,aor
538,mriqc,0.0077121518987341,mriqc,aor
539,mriqc,0.0007377,mriqc,aor
540,mriqc,0.0047515,mriqc,aor
541,mriqc,0.0134839666666666,mriqc,aor
542,mriqc,0.0025010666666666,mriqc,aor
543,mriqc,0.0038869198312236,mriqc,aor
544,mriqc,0.0086747,mriqc,aor
545,mriqc,0.0114101,mriqc,aor
546,mriqc,0.0040398888888888,mriqc,aor
547,mriqc,0.0009207222222222,mriqc,aor
548,mriqc,0.0006165,mriqc,aor
549,mriqc,0.0007076111111111,mriqc,aor
550,mriqc,0.0079703846153846,mriqc,aor
551,mriqc,0.0013555333333333,mriqc,aor
552,mriqc,0.0005814444444444,mriqc,aor
553,mriqc,0.0008899444444444,mriqc,aor
554,mriqc,0.0016822999999999,mriqc,aor
555,mriqc,0.0008791666666666,mriqc,aor
556,mriqc,0.0009033333333333,mriqc,aor
557,mriqc,0.0005093666666666,mriqc,aor
558,mriqc,0.0026659333333333,mriqc,aor
559,mriqc,0.0004568965517241,mriqc,aor
560,mriqc,0.0004857999999999,mriqc,aor
561,mriqc,0.0010942672413793,mriqc,aor
562,mriqc,0.0008511965811965,mriqc,aor
563,mriqc,0.0009706,mriqc,aor
564,mriqc,0.0006218333333333,mriqc,aor
565,mriqc,0.0006677777777777,mriqc,aor
566,mriqc,0.0006724,mriqc,aor
567,mriqc,0.0006805603448275,mriqc,aor
568,mriqc,0.0018575,mriqc,aor
569,mriqc,0.0009316333333333,mriqc,aor
570,mriqc,0.0004078333333333,mriqc,aor
571,mriqc,0.0007770689655172,mriqc,aor
572,mriqc,0.0010164655172413,mriqc,aor
573,mriqc,0.0004472333333333,mriqc,aor
574,mriqc,0.0006921666666666,mriqc,aor
575,mriqc,0.0006295555555555,mriqc,aor
576,mriqc,0.0017255555555555,mriqc,aor
577,mriqc,0.0007882222222222,mriqc,aor
578,mriqc,0.0015520333333333,mriqc,aor
579,mriqc,0.0005526333333333,mriqc,aor
580,mriqc,0.0005655333333333,mriqc,aor
581,mriqc,0.0005930555555555,mriqc,aor
582,mriqc,0.0004006,mriqc,aor
583,mriqc,0.0011439316239316,mriqc,aor
584,mriqc,0.0005292222222222,mriqc,aor
585,mriqc,0.0007608333333333,mriqc,aor
586,mriqc,0.0005980555555555,mriqc,aor
587,mriqc,0.0005272844827586,mriqc,aor
588,mriqc,0.0012616379310344,mriqc,aor
589,mriqc,0.0023164666666666,mriqc,aor
590,mriqc,0.0005828888888888,mriqc,aor
