,compare,gcor,task,data type
509,mriqc,0.0104651,mriqc,gcor
510,mriqc,0.0126933,mriqc,gcor
511,mriqc,0.00858998,mriqc,gcor
512,mriqc,0.00921556,mriqc,gcor
513,mriqc,0.0155845,mriqc,gcor
514,mriqc,0.0386689,mriqc,gcor
515,mriqc,0.00859361,mriqc,gcor
516,mriqc,0.0168081,mriqc,gcor
517,mriqc,0.0145081,mriqc,gcor
518,mriqc,0.013394,mriqc,gcor
519,mriqc,0.0132117,mriqc,gcor
520,mriqc,0.00815912,mriqc,gcor
521,mriqc,0.00985476,mriqc,gcor
522,mriqc,0.0184328,mriqc,gcor
523,mriqc,0.00763685,mriqc,gcor
524,mriqc,0.014047,mriqc,gcor
525,mriqc,0.0187323,mriqc,gcor
526,mriqc,0.0110845,mriqc,gcor
527,mriqc,0.0134153,mriqc,gcor
528,mriqc,0.0155827,mriqc,gcor
529,mriqc,0.0136909,mriqc,gcor
530,mriqc,0.0143462,mriqc,gcor
531,mriqc,0.00844708,mriqc,gcor
532,mriqc,0.00886026,mriqc,gcor
533,mriqc,0.00685099,mriqc,gcor
534,mriqc,0.0177088,mriqc,gcor
535,mriqc,0.0148302,mriqc,gcor
536,mriqc,0.0131466,mriqc,gcor
537,mriqc,0.00989941,mriqc,gcor
538,mriqc,0.0296572,mriqc,gcor
539,mriqc,0.0181942,mriqc,gcor
540,mriqc,0.00964541,mriqc,gcor
541,mriqc,0.0731418,mriqc,gcor
542,mriqc,0.0193643,mriqc,gcor
543,mriqc,0.0140949,mriqc,gcor
544,mriqc,0.0636599,mriqc,gcor
545,mriqc,0.0838663,mriqc,gcor
546,mriqc,0.00921994,mriqc,gcor
547,mriqc,0.0093765,mriqc,gcor
548,mriqc,0.00959331,mriqc,gcor
549,mriqc,0.00873338,mriqc,gcor
550,mriqc,0.0133789,mriqc,gcor
551,mriqc,0.0129254,mriqc,gcor
552,mriqc,0.00507364,mriqc,gcor
553,mriqc,0.008187,mriqc,gcor
554,mriqc,0.0175325,mriqc,gcor
555,mriqc,0.00721974,mriqc,gcor
556,mriqc,0.00924875,mriqc,gcor
557,mriqc,0.0121903,mriqc,gcor
558,mriqc,0.00680925,mriqc,gcor
559,mriqc,0.00900928,mriqc,gcor
560,mriqc,0.0123113,mriqc,gcor
561,mriqc,0.00763534,mriqc,gcor
562,mriqc,0.0101832,mriqc,gcor
563,mriqc,0.0123106,mriqc,gcor
564,mriqc,0.0103302,mriqc,gcor
565,mriqc,0.0127255,mriqc,gcor
566,mriqc,0.0178286,mriqc,gcor
567,mriqc,0.00640051,mriqc,gcor
568,mriqc,0.0236306,mriqc,gcor
569,mriqc,0.0185678,mriqc,gcor
570,mriqc,0.00481522,mriqc,gcor
571,mriqc,0.0123973,mriqc,gcor
572,mriqc,0.0151481,mriqc,gcor
573,mriqc,0.00625156,mriqc,gcor
574,mriqc,0.0325886,mriqc,gcor
575,mriqc,0.00943822,mriqc,gcor
576,mriqc,0.0192401,mriqc,gcor
577,mriqc,0.0121859,mriqc,gcor
578,mriqc,0.0119691,mriqc,gcor
579,mriqc,0.0184341,mriqc,gcor
580,mriqc,0.00331936,mriqc,gcor
581,mriqc,0.0117576,mriqc,gcor
582,mriqc,0.00904591,mriqc,gcor
583,mriqc,0.0279213,mriqc,gcor
584,mriqc,0.00848821,mriqc,gcor
585,mriqc,0.00763076,mriqc,gcor
586,mriqc,0.0160597,mriqc,gcor
587,mriqc,0.00762683,mriqc,gcor
588,mriqc,0.0423751,mriqc,gcor
589,mriqc,0.0425058,mriqc,gcor
590,mriqc,0.00988975,mriqc,gcor
591,mriqc,0.00831122,mriqc,gcor
592,mriqc,0.0963183,mriqc,gcor
593,mriqc,0.015201,mriqc,gcor
594,mriqc,0.0137137,mriqc,gcor
595,mriqc,0.0130587,mriqc,gcor
596,mriqc,0.0122211,mriqc,gcor
597,mriqc,0.0163872,mriqc,gcor
598,mriqc,0.0169556,mriqc,gcor
599,mriqc,0.00443262,mriqc,gcor
600,mriqc,0.0102895,mriqc,gcor
601,mriqc,0.0165689,mriqc,gcor
602,mriqc,0.0395809,mriqc,gcor
603,mriqc,0.0188582,mriqc,gcor
604,mriqc,0.0148517,mriqc,gcor
605,mriqc,0.0143697,mriqc,gcor
606,mriqc,0.0268054,mriqc,gcor
607,mriqc,0.010479,mriqc,gcor
608,mriqc,0.0170288,mriqc,gcor
609,mriqc,0.0348571,mriqc,gcor
610,mriqc,0.040822,mriqc,gcor
611,mriqc,0.038391,mriqc,gcor
612,mriqc,0.0263704,mriqc,gcor
613,mriqc,0.0264392,mriqc,gcor
614,mriqc,0.0234946,mriqc,gcor
615,mriqc,0.0155605,mriqc,gcor
616,mriqc,0.0259839,mriqc,gcor
617,mriqc,0.0492148,mriqc,gcor
618,mriqc,0.0339762,mriqc,gcor
619,mriqc,0.0153615,mriqc,gcor
620,mriqc,0.0387549,mriqc,gcor
621,mriqc,0.0202174,mriqc,gcor
622,mriqc,0.0158307,mriqc,gcor
623,mriqc,0.0152152,mriqc,gcor
624,mriqc,0.0150511,mriqc,gcor
625,mriqc,0.0111474,mriqc,gcor
626,mriqc,0.03252,mriqc,gcor
627,mriqc,0.0467882,mriqc,gcor
628,mriqc,0.0348357,mriqc,gcor
629,mriqc,0.0339302,mriqc,gcor
630,mriqc,0.0250252,mriqc,gcor
631,mriqc,0.0151637,mriqc,gcor
632,mriqc,0.0149218,mriqc,gcor
633,mriqc,0.0341392,mriqc,gcor
634,mriqc,0.0183579,mriqc,gcor
635,mriqc,0.0416389,mriqc,gcor
